Date,CSUSHPINSA
1987-01-01,63.736
1987-02-01,64.136
1987-03-01,64.472
1987-04-01,64.977
1987-05-01,65.552
1987-06-01,66.222
1987-07-01,66.787
1987-08-01,67.269
1987-09-01,67.624
1987-10-01,67.903
1987-11-01,68.094
1987-12-01,68.346
1988-01-01,68.584
1988-02-01,68.916
1988-03-01,69.324
1988-04-01,69.788
1988-05-01,70.407
1988-06-01,71.065
1988-07-01,71.683
1988-08-01,72.183
1988-09-01,72.573
1988-10-01,72.822
1988-11-01,73.066
1988-12-01,73.279
1989-01-01,73.618
1989-02-01,73.969
1989-03-01,74.411
1989-04-01,74.869
1989-05-01,75.297
1989-06-01,75.697
1989-07-01,76.042
1989-08-01,76.272
1989-09-01,76.421
1989-10-01,76.489
1989-11-01,76.522
1989-12-01,76.498
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.039
1990-05-01,77.298
1990-06-01,77.505
1990-07-01,77.559
1990-08-01,77.477
1990-09-01,77.227
1990-10-01,76.911
1990-11-01,76.38
1990-12-01,75.971
1991-01-01,75.532
1991-02-01,75.251
1991-03-01,75.139
1991-04-01,75.316
1991-05-01,75.768
1991-06-01,76.254
1991-07-01,76.517
1991-08-01,76.594
1991-09-01,76.576
1991-10-01,76.285
1991-11-01,76.031
1991-12-01,75.845
1992-01-01,75.701
1992-02-01,75.657
1992-03-01,75.816
1992-04-01,76.082
1992-05-01,76.4
1992-06-01,76.604
1992-07-01,76.713
1992-08-01,76.733
1992-09-01,76.63
1992-10-01,76.599
1992-11-01,76.58
1992-12-01,76.466
1993-01-01,76.398
1993-02-01,76.331
1993-03-01,76.386
1993-04-01,76.664
1993-05-01,77.033
1993-06-01,77.518
1993-07-01,77.887
1993-08-01,78.132
1993-09-01,78.199
1993-10-01,78.173
1993-11-01,78.172
1993-12-01,78.116
1994-01-01,78.201
1994-02-01,78.208
1994-03-01,78.352
1994-04-01,78.704
1994-05-01,79.212
1994-06-01,79.704
1994-07-01,80.066
1994-08-01,80.319
1994-09-01,80.342
1994-10-01,80.306
1994-11-01,80.171
1994-12-01,80.08
1995-01-01,80.029
1995-02-01,79.994
1995-03-01,80.081
1995-04-01,80.373
1995-05-01,80.696
1995-06-01,81.072
1995-07-01,81.415
1995-08-01,81.658
1995-09-01,81.742
1995-10-01,81.731
1995-11-01,81.635
1995-12-01,81.518
1996-01-01,81.431
1996-02-01,81.403
1996-03-01,81.669
1996-04-01,82.128
1996-05-01,82.605
1996-06-01,83.052
1996-07-01,83.422
1996-08-01,83.649
1996-09-01,83.705
1996-10-01,83.633
1996-11-01,83.56
1996-12-01,83.494
1997-01-01,83.534
1997-02-01,83.6
1997-03-01,83.915
1997-04-01,84.324
1997-05-01,84.868
1997-06-01,85.402
1997-07-01,85.845
1997-08-01,86.154
1997-09-01,86.314
1997-10-01,86.411
1997-11-01,86.634
1997-12-01,86.851
1998-01-01,87.166
1998-02-01,87.377
1998-03-01,87.881
1998-04-01,88.561
1998-05-01,89.377
1998-06-01,90.197
1998-07-01,90.861
1998-08-01,91.409
1998-09-01,91.755
1998-10-01,92.003
1998-11-01,92.201
1998-12-01,92.447
1999-01-01,92.716
1999-02-01,92.982
1999-03-01,93.612
1999-04-01,94.438
1999-05-01,95.363
1999-06-01,96.367
1999-07-01,97.196
1999-08-01,97.902
1999-09-01,98.405
1999-10-01,98.838
1999-11-01,99.155
1999-12-01,99.549
2000-01-01,100
2000-02-01,100.571
2000-03-01,101.466
2000-04-01,102.54
2000-05-01,103.701
2000-06-01,104.854
2000-07-01,105.72
2000-08-01,106.52
2000-09-01,107.134
2000-10-01,107.726
2000-11-01,108.289
2000-12-01,108.79
2001-01-01,109.213
2001-02-01,109.641
2001-03-01,110.393
2001-04-01,111.246
2001-05-01,112.201
2001-06-01,113.271
2001-07-01,114.226
2001-08-01,114.987
2001-09-01,115.464
2001-10-01,115.679
2001-11-01,115.836
2001-12-01,116.053
2002-01-01,116.436
2002-02-01,116.918
2002-03-01,117.931
2002-04-01,119.209
2002-05-01,120.788
2002-06-01,122.332
2002-07-01,123.686
2002-08-01,124.728
2002-09-01,125.492
2002-10-01,126.134
2002-11-01,126.64
2002-12-01,127.149
2003-01-01,127.651
2003-02-01,128.326
2003-03-01,129.308
2003-04-01,130.488
2003-05-01,131.838
2003-06-01,133.224
2003-07-01,134.645
2003-08-01,135.963
2003-09-01,137.075
2003-10-01,137.975
2003-11-01,138.765
2003-12-01,139.628
2004-01-01,140.706
2004-02-01,142.03
2004-03-01,144.081
2004-04-01,146.179
2004-05-01,148.332
2004-06-01,150.515
2004-07-01,152.334
2004-08-01,153.811
2004-09-01,155.106
2004-10-01,156.298
2004-11-01,157.497
2004-12-01,158.671
2005-01-01,160.131
2005-02-01,161.925
2005-03-01,164.576
2005-04-01,166.999
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.096
2005-08-01,175.922
2005-09-01,177.61
2005-10-01,178.752
2005-11-01,179.674
2005-12-01,180.108
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.749
2006-04-01,183.648
2006-05-01,184.38
2006-06-01,184.547
2006-07-01,184.609
2006-08-01,184.406
2006-09-01,184.2
2006-10-01,184.057
2006-11-01,183.634
2006-12-01,183.232
2007-01-01,182.721
2007-02-01,182.473
2007-03-01,182.194
2007-04-01,182.131
2007-05-01,181.885
2007-06-01,181.542
2007-07-01,180.996
2007-08-01,180.238
2007-09-01,179.125
2007-10-01,177.532
2007-11-01,175.163
2007-12-01,173.339
2008-01-01,171.079
2008-02-01,169.193
2008-03-01,167.905
2008-04-01,167.325
2008-05-01,167.023
2008-06-01,166.54
2008-07-01,165.717
2008-08-01,164.281
2008-09-01,161.914
2008-10-01,159.162
2008-11-01,156.069
2008-12-01,152.543
2009-01-01,149.361
2009-02-01,147.617
2009-03-01,146.515
2009-04-01,146.944
2009-05-01,148.171
2009-06-01,149.796
2009-07-01,150.745
2009-08-01,150.662
2009-09-01,149.621
2009-10-01,148.581
2009-11-01,147.938
2009-12-01,146.666
2010-01-01,145.003
2010-02-01,143.055
2010-03-01,143.597
2010-04-01,145.402
2010-05-01,147.037
2010-06-01,147.702
2010-07-01,147.56
2010-08-01,146.422
2010-09-01,144.603
2010-10-01,143.125
2010-11-01,141.819
2010-12-01,140.633
2011-01-01,139.046
2011-02-01,137.743
2011-03-01,137.793
2011-04-01,139.16
2011-05-01,140.691
2011-06-01,141.943
2011-07-01,142.339
2011-08-01,141.783
2011-09-01,140.166
2011-10-01,138.409
2011-11-01,136.665
2011-12-01,135.167
2012-01-01,134.167
2012-02-01,133.997
2012-03-01,135.867
2012-04-01,138.475
2012-05-01,141.051
2012-06-01,143.17
2012-07-01,144.281
2012-08-01,144.703
2012-09-01,144.357
2012-10-01,143.969
2012-11-01,143.963
2012-12-01,143.871
2013-01-01,144.313
2013-02-01,145.162
2013-03-01,147.964
2013-04-01,150.977
2013-05-01,153.871
2013-06-01,156.438
2013-07-01,158.298
2013-08-01,159.405
2013-09-01,159.681
2013-10-01,159.562
2013-11-01,159.368
2013-12-01,159.286
2014-01-01,159.379
2014-02-01,159.885
2014-03-01,161.206
2014-04-01,162.989
2014-05-01,164.704
2014-06-01,166.227
2014-07-01,167.144
2014-08-01,167.457
2014-09-01,167.25
2014-10-01,166.921
2014-11-01,166.672
2014-12-01,166.481
2015-01-01,166.279
2015-02-01,166.668
2015-03-01,168.124
2015-04-01,169.997
2015-05-01,171.871
2015-06-01,173.466
2015-07-01,174.507
2015-08-01,174.951
2015-09-01,175.065
2015-10-01,175.077
2015-11-01,175.177
2015-12-01,175.156
2016-01-01,175.075
2016-02-01,175.317
2016-03-01,176.635
2016-04-01,178.524
2016-05-01,180.372
2016-06-01,181.951
2016-07-01,183.06
2016-08-01,183.701
2016-09-01,183.993
2016-10-01,184.07
2016-11-01,184.285
2016-12-01,184.459
2017-01-01,184.717
2017-02-01,185.088
2017-03-01,186.588
2017-04-01,188.586
2017-05-01,190.581
2017-06-01,192.32
2017-07-01,193.576
2017-08-01,194.417
2017-09-01,194.889
2017-10-01,195.154
2017-11-01,195.519
2017-12-01,195.916
2018-01-01,196.185
2018-02-01,196.975
2018-03-01,198.642
2018-04-01,200.683
2018-05-01,202.521
2018-06-01,204.113
2018-07-01,205.021
2018-08-01,205.403
2018-09-01,205.46
2018-10-01,205.466
2018-11-01,205.214
2018-12-01,204.814
2019-01-01,204.323
2019-02-01,204.554
2019-03-01,205.898
2019-04-01,207.805
2019-05-01,209.467
2019-06-01,210.71
2019-07-01,211.466
2019-08-01,211.827
2019-09-01,212.01
2019-10-01,212.101
2019-11-01,212.24
2019-12-01,212.365
2020-01-01,212.485
2020-02-01,213.278
2020-03-01,215.237
2020-04-01,217.311
2020-05-01,218.569
2020-06-01,219.91
2020-07-01,221.655
2020-08-01,224.143
2020-09-01,226.812
2020-10-01,229.922
2020-11-01,232.409
2020-12-01,234.395
