Date,1 yield shekel linked,5 yield shekel linked,10 yield shekel linked,15 yield shekel linked,18 yield shekel linked,25 yield shekel linked
30/04/05,1.789359,3.01031184,3.79603219,4.1441,4.240208,4.304347
31/05/05,2.135851,2.93240213,3.578357,3.97040582,4.124614,4.335875
30/06/05,2.064725,3.022015,3.76365685,4.165994,4.297095,4.399351
31/07/05,1.985179,2.89048624,3.58939385,3.97046375,4.09726524,4.207963
31/08/05,2.172849,2.8170042,3.412272,3.834476,4.02522,4.338109
30/09/05,1.847997,2.654335,3.322883,3.74006414,3.90853214,4.14804268
31/10/05,2.03349781,2.723111,3.323565,3.713513,3.873374,4.095319
30/11/05,2.96316719,3.402735,3.76566887,3.97719216,4.05054,4.112542
31/12/05,3.769429,3.7927978,3.820369,3.846185,3.860863,3.892845
31/01/06,3.54983187,3.59993,3.661857,3.72301912,3.759353,3.843085
28/02/06,3.384878,3.593709,3.778862,3.895342,3.93817282,3.975537
31/03/06,3.410891,3.662744,3.817439,3.895152,3.924086,3.966285
30/04/06,3.33581,3.64148021,3.81255627,3.87773275,3.89368987,3.903363
31/05/06,3.88797,3.888088,3.888205,3.888288,3.888322,3.88835287
30/06/06,3.992311,3.992313,3.992314,3.992315,3.992316,3.992316
31/07/06,3.99697113,3.99694,3.99691582,3.996909,3.996912,3.99694085
31/08/06,4.151954,3.97303,3.951364,3.966467,3.97577786,3.991704
30/09/06,4.207745,4.03099632,3.96963716,3.97131419,3.98174715,4.009954
31/10/06,4.260815,3.853167,3.76476812,3.787503,3.809236,3.85264587
30/11/06,3.84944487,3.608342,3.606794,3.636175,3.649991,3.671309
31/12/06,4.08973,3.691879,3.57982922,3.574389,3.58172917,3.60015583
31/01/07,4.111579,3.442978,3.500461,3.53218913,3.542947,3.55801916
28/02/07,3.53758526,3.174763,3.283757,3.324193,3.337688,3.35658121
31/03/07,2.989769,3.20179415,3.336362,3.394253,3.409393,3.417264
30/04/07,3.049498,3.13967419,3.198031,3.222088,3.22716618,3.22510719
31/05/07,3.093448,2.906302,3.009287,3.053809,3.068819,3.089844
30/06/07,1.57798994,2.63779378,3.177257,3.35836315,3.39625883,3.40996
31/07/07,1.50460911,2.7472198,3.315582,3.495879,3.536891,3.568065
31/08/07,2.350527,3.53280616,3.780512,3.863699,3.89142919,3.930251
30/09/07,3.621592,3.627171,3.72325587,3.79504085,3.824586,3.869149
31/10/07,3.38287282,3.380574,3.5782032,3.663302,3.69213581,3.73255014
30/11/07,2.77012515,3.20955682,3.436422,3.537249,3.572824,3.62337017
31/12/07,2.104676,3.329762,3.637368,3.71876884,3.743054,3.77599216
31/01/08,1.995126,3.233902,3.58997321,3.706297,3.744287,3.79721713
29/02/08,2.550828,2.908573,3.27792215,3.419811,3.46737385,3.533976
31/03/08,1.131448,2.458221,3.15476584,3.40927482,3.494354,3.613475
30/04/08,0.584014,2.293855,3.057708,3.33967,3.434073,3.566265
31/05/08,0.3463,2.697437,3.228364,3.407604,3.467358,3.551014
30/06/08,1.047409,2.555649,3.164606,3.38764,3.462297,3.566838
31/07/08,1.115448,2.598652,3.231402,3.452334,3.526025,3.629195
31/08/08,1.846609,2.683351,3.219263,3.432556,3.504524,3.60537
30/09/08,2.461017,3.401973,3.638976,3.719927,3.746922,3.784716
31/10/08,2.989673,3.640388,3.927881,4.018292,4.039765,4.058858
30/11/08,4.206257,3.91906,4.1914,4.386424,4.461178,4.569386
31/12/08,3.571889,2.66591,3.192065,3.422227,3.499931,3.608788
31/01/09,2.300406,2.358934,3.126434,3.454933,3.566186,3.722112
28/02/09,0.893215,1.658453,2.565706,2.991611,3.139739,3.348376
31/03/09,0.397004,1.724057,2.781265,3.200443,3.341583,3.539303
30/04/09,0.0001,1.319339,2.669601,3.223784,3.41205,3.676131
31/05/09,0.0001,1.548943,2.996403,3.507954,3.678631,3.917581
30/06/09,0.0001,1.657107,3.015233,3.494365,3.654267,3.878136
31/07/09,0.0001,1.37059,2.891583,3.454968,3.643652,3.90787
31/08/09,0.0001,1.616973,2.893199,3.41532,3.592957,3.842224
30/09/09,0.0001,1.570394,2.812617,3.285153,3.443542,3.665343
31/10/09,-0.346343,1.156819,2.6013,3.19972,3.402371,3.686439
30/11/09,-0.611595,1.043646,2.393345,2.989658,3.194845,3.483275
31/12/09,-0.348043,1.663786,2.7832,3.214591,3.359594,3.562704
31/01/10,-0.043389,1.548952,2.684534,3.157338,3.318049,3.543474
28/02/10,0.192618,1.5181,2.597979,3.051807,3.206122,3.422573
31/03/10,-0.781828,1.257635,2.385786,2.884697,3.058894,3.305026
30/04/10,-0.774817,1.258056,2.364293,2.873304,3.055381,3.315571
31/05/10,-0.346492,1.141797,2.29587,2.836922,3.026905,3.295373
30/06/10,-0.757727,0.899766,2.123006,2.690738,2.889725,3.17081
31/07/10,-1.11401,0.79727,2.060086,2.614405,2.805756,3.075021
31/08/10,-0.312909,0.6863379,1.776878,2.380663,2.60516,2.9288
30/09/10,-0.274141,1.023258,1.957622,2.462528,2.654729,2.9371
31/10/10,-0.507604,0.691976,1.693388,2.222724,2.41816,2.699628
30/11/10,-0.409126,0.746622,1.869605,2.424148,2.621156,2.900363
31/12/10,-0.135697,1.21807,2.236722,2.698376,2.858739,3.08469
31/01/11,-0.348132,1.099974,2.185641,2.683922,2.857766,3.103
28/02/11,-0.50248,1.320845,2.366333,2.804353,2.954106,3.164434
31/03/11,-0.506821,1.808678,2.649749,2.984476,3.08299,3.203276
30/04/11,-0.612228,1.785472,2.611846,2.945112,3.04886,3.184197
31/05/11,-0.102943,1.739268,2.497663,2.855155,2.987443,3.190361
30/06/11,-0.060539,1.751196,2.507659,2.876987,3.011924,3.216805
31/07/11,0.551326,1.79909,2.524031,2.852757,2.980408,3.162381
31/08/11,0.888207,1.451782,2.239289,2.590142,2.716705,2.91842
30/09/11,1.121246,1.528817,2.313867,2.64106,2.745845,2.915926
31/10/11,1.009647,1.415357,2.157511,2.487541,2.608544,2.839042
30/11/11,0.713522,1.400346,2.415172,2.770573,2.84477,2.983547
31/12/11,0.910582,1.184415,2.235027,2.649453,2.759117,2.931907
31/01/12,0.320863,1.00925,2.060599,2.533057,2.672479,2.892331
29/02/12,-0.412133,1.001013,2.187075,2.656262,2.789111,2.977809
31/03/12,-0.51785,0.982828,2.205842,2.678529,2.81493,2.993698
30/04/12,-0.678901,0.966401,2.136483,2.653291,2.801351,3.006438
31/05/12,0.054421,0.944398,2.128514,2.671134,2.825384,3.035834
30/06/12,0.44925,1.02131,2.24798,2.729006,2.856751,3.019094
31/07/12,-0.445783,0.375669,1.832433,2.497132,2.660691,2.851976
31/08/12,-0.843909,0.585688,1.933527,2.535575,2.699902,2.90385
30/09/12,-0.458155,0.583558,1.947963,2.540118,2.710911,2.934562
31/10/12,-0.348004,0.445296,1.726229,2.361199,2.571838,2.863765
30/11/12,0.022263,0.48482,1.657131,2.255736,2.463071,2.775021
31/12/12,0.022263,0.48482,1.657131,2.255736,2.463071,2.775021
31/01/13,-0.515654,0.509847,1.651071,2.189469,2.363039,2.633938
28/02/13,-0.515654,0.509847,1.651071,2.189469,2.363039,2.633938
31/03/13,-1.078493,0.323408,1.625827,2.242691,2.445074,2.760696
30/04/13,-0.505006,0.132156,1.319186,2.020217,2.254639,2.598294
31/05/13,-1.022503,0.13532,1.450537,2.098773,2.32451,2.642515
30/06/13,-0.606052,0.380157,1.615249,2.262484,2.468401,2.738785
31/07/13,-0.530316,0.306007,1.613166,2.20734,2.40075,2.673731
31/08/13,-0.299689,0.637212,1.877381,2.381444,2.523851,2.721249
30/09/13,0.095404,0.428586,1.712963,2.288814,2.456048,2.678214
31/10/13,0.086529,0.285843,1.599009,2.219096,2.402688,2.639514
30/11/13,0.12459,0.087407,1.474495,2.115252,2.297795,2.535191
31/12/13,-0.564633,0.295682,1.625251,2.167309,2.294954,2.461872
31/01/14,-0.400318,0.187125,1.580253,2.189072,2.34117,2.510971
28/02/14,-0.74389,0.032235,1.384843,2.003251,2.188708,2.421997
31/03/14,-1.264516,-0.117269,1.241132,1.876271,2.066098,2.309588
30/04/14,-1.101031,-0.173144,1.225333,1.875833,2.046416,2.267943
31/05/14,-0.381345,-0.144864,0.924852,1.503512,1.686593,1.947676
30/06/14,-0.481563,-0.080289,0.814445,1.395082,1.616059,1.914735
31/07/14,0.045407,-0.024585,0.790204,1.321651,1.551775,1.864255
31/08/14,-0.068836,-0.214303,0.61525,1.108589,1.331813,1.691004
30/09/14,0.310644,-0.251188,0.710193,1.261653,1.45001,1.711654
31/10/14,0.49401,-0.254712,0.538515,1.036679,1.183262,1.389545
30/11/14,0.98166,-0.160829,0.616664,1.078021,1.233047,1.473488
31/12/14,1.418285,0.178464,0.775172,1.201406,1.350584,1.591594
31/01/15,-0.205101,-0.128625,0.309438,0.778733,0.991529,1.311941
28/02/15,-0.810108,-0.638117,0.045448,0.479749,0.639949,0.921586
31/03/15,-1.149943,-0.510512,0.050798,0.335252,0.46081,0.713948
30/04/15,-1.716105,-0.765019,-0.042969,0.26684,0.348699,0.552979
31/05/15,-1.229617,-0.654094,0.207249,0.622605,0.773076,1.016418
30/06/15,-1.109987,-0.11584,0.938856,1.327802,1.414141,1.553926
31/07/15,-0.656369,-0.155079,0.739205,1.237598,1.423383,1.66838
31/08/15,0.006612,-0.137409,0.60136,1.072285,1.255802,1.54684
30/09/15,0.295957,0.106879,0.785088,1.196321,1.365827,1.621997
31/10/15,0.108172,-0.085344,0.538863,0.998781,1.18165,1.444296
30/11/15,0.079135,0.030138,0.714068,1.18191,1.352587,1.58526
31/12/15,0.447969,0.136345,0.657642,1.093863,1.270597,1.537326
31/01/16,0.627164,0.137582,0.592518,0.942532,1.087079,1.324596
29/02/16,0.154213,-0.155944,0.345829,0.744511,0.909639,1.17908
31/03/16,-0.377192,-0.147838,0.481322,0.827133,0.959949,1.164581
30/04/16,-0.634601,-0.418257,0.233691,0.637334,0.80744,1.042766
31/05/16,-0.183667,-0.150237,0.370308,0.727927,0.887008,1.103166
30/06/16,-0.081927,-0.211759,0.279616,0.650263,0.813702,1.046346
31/07/16,0.263445,-0.243341,0.234864,0.606751,0.781848,1.044905
31/08/16,0.276037,-0.100901,0.391918,0.719598,0.870248,1.112576
30/09/16,0.548194,0.039827,0.457434,0.786577,0.946727,1.170696
31/10/16,0.350127,0.012221,0.486142,0.835631,1.0077,1.257085
30/11/16,0.562723,0.198688,0.730682,1.036505,1.184876,1.41967
31/12/16,0.475521,0.15962,0.70482,1.033647,1.190351,1.436278
31/01/17,0.581414,0.096009,0.757214,1.155148,1.315987,1.550528
28/02/17,0.287041,0.138857,0.832769,1.22767,1.389323,1.635687
31/03/17,0.16536,0.130625,0.792553,1.200258,1.363951,1.603197
30/04/17,-0.170828,-0.072809,0.66298,1.076836,1.254438,1.550521
31/05/17,-0.167074,-0.124933,0.640767,1.059085,1.247339,1.581312
30/06/17,0.522155,0.095456,0.785659,1.173591,1.357381,1.705809
31/07/17,0.429998,-0.050989,0.535008,0.945068,1.135092,1.48135
31/08/17,0.433084,-0.165278,0.386308,0.80852,1.007848,1.370278
30/09/17,0.930304,-0.048192,0.499875,0.870193,1.044986,1.388657
31/10/17,0.416854,-0.111441,0.482507,0.857018,1.03489,1.371788
30/11/17,0.274403,-0.236593,0.437007,0.879331,1.077373,1.417003
31/12/17,0.060881,-0.35723,0.297881,0.784457,1.003107,1.374918
31/01/18,-0.104299,-0.361467,0.239809,0.654134,0.859058,1.235954
28/02/18,-1.145954,-0.317144,0.401555,0.827975,1.016451,1.351391
31/03/18,-0.420152,-0.357669,0.311569,0.791273,0.98708,1.293452
30/04/18,-0.714688,-0.338298,0.387029,0.862832,1.051382,1.32993
31/05/18,-0.676142,-0.325313,0.403187,0.891973,1.090091,1.409982
30/06/18,-0.854374,-0.192221,0.613259,1.055005,1.231104,1.524609
31/07/18,-0.946322,-0.225355,0.542908,1.010528,1.206562,1.513142
31/08/18,-0.924054,-0.251534,0.535298,1.00644,1.189981,1.471817
30/09/18,-0.857922,-0.158812,0.585572,1.025865,1.210073,1.522977
31/10/18,-0.701809,-0.027899,0.755725,1.201187,1.384284,1.685835
30/11/18,-0.334805,0.19005,0.892606,1.310145,1.490524,1.808305
31/12/18,-0.490155,0.120413,0.833028,1.258546,1.445061,1.769198
31/01/19,-0.708227,-0.218121,0.582634,1.059691,1.269186,1.632775
28/02/19,-0.766487,-0.37665,0.448645,0.993315,1.230579,1.640331
31/03/19,-0.863447,-0.517154,0.256506,0.855076,1.107254,1.501874
30/04/19,-0.822658,-0.53019,0.196663,0.759481,1.010869,1.460641
31/05/19,-0.84486,-0.55739,0.142317,0.778872,1.065335,1.504778
30/06/19,-0.789571,-0.546725,0.122275,0.679839,0.944197,1.419014
31/07/19,-0.768199,-0.913916,-0.278451,0.335486,0.641829,1.177504
31/08/19,-0.739393,-0.826468,-0.383025,0.171212,0.442934,0.89653
30/09/19,-0.662008,-0.915691,-0.453638,0.090552,0.372316,0.872633
31/10/19,-0.88994,-0.941891,-0.508082,-0.034996,0.223391,0.724034
30/11/19,-0.538532,-0.863057,-0.443518,0.033997,0.284288,0.752034
31/12/19,-0.766237,-0.849136,-0.467383,-0.07005,0.157876,0.61551
31/01/20,-0.643147,-0.873893,-0.528824,-0.18329,0.03334,0.496312
29/02/20,-0.623647,-0.983498,-0.809917,-0.448192,-0.242709,0.173677
31/03/20,0.587498,-0.09038,-0.031282,0.113821,0.229626,0.598437
30/04/20,0.782023,-0.371618,-0.375119,-0.168446,-0.001276,0.39191
31/05/20,-0.225029,-0.722539,-0.559183,-0.307226,-0.132235,0.267733
30/06/20,0.031383,-0.579662,-0.632477,-0.363781,-0.18226,0.198221
31/07/20,0.126385,-0.476554,-0.525888,-0.301275,-0.135615,0.238232
31/08/20,0.030014,-0.765931,-0.697673,-0.408429,-0.228082,0.1747
30/09/20,0.475482,-0.410573,-0.415455,-0.186658,-0.034154,0.299768
31/10/20,0.330204,-0.469196,-0.405434,-0.11657,0.040607,0.343563
30/11/20,0.219382,-0.738846,-0.498042,-0.163238,-0.012003,0.304091
31/12/20,0.132116,-0.949798,-0.58028,-0.231913,-0.088592,0.231511
31/01/21,-0.571746,-1.075619,-0.676323,-0.28854,-0.121913,0.188836
28/02/21,-0.530939,-1.107841,-0.420678,-0.06127,0.084235,0.386318
31/03/21,-1.280549,-1.197242,-0.501146,-0.1236,0.012254,0.30678
